agg_id,x,y,ecoregion,year,spei.90d,spei.180d,spei.270d,diff_shallow,diff_dswe,diff_spei,diff_rangeT
24976,498564,5022093,6,2022,1.6561599969863892,1.127210021018982,1.4838401079177856,1.5318000316619873,3.51,2.146882653236389,-4.539608001708984
24977,500064,5022093,6,2022,1.5661600828170776,1.127210021018982,1.5738400220870972,3.685499906539917,24.39,2.1454005241394043,-4.3913421630859375
24978,501564,5022093,6,2022,1.4761600494384766,1.127210021018982,1.6638400554656982,15.148799896240234,30.69,2.14391827583313,-4.243076324462891
24979,503064,5022093,6,2022,1.4500000476837158,1.0667721033096311,1.6261600255966189,14.066999763250353,29.79,2.082121968269348,-4.225963592529297
24980,504564,5022093,6,2022,1.4500000476837158,0.9815683960914612,1.5361599922180176,12.519900798797607,25.56,1.9956104159355164,-4.262596130371094
24981,506064,5022093,6,2022,1.4500000476837158,0.8999627828598022,1.4500000476837158,3.4731006622314453,8.64,1.9127527475357056,-4.299076080322266
24982,507564,5022093,6,2022,1.4500000476837158,0.8990908861160278,1.4500000476837158,1.1610002517700195,4.140000000000001,1.9118808507919312,-4.332233428955078
24983,509064,5022093,6,2022,1.4500000476837158,0.8982190489768982,1.4500000476837158,0.18360018730163577,3.51,1.9110090136528015,-4.365385055541992
24984,510564,5022093,6,2022,1.4048800468444824,0.8709505200386047,1.448951005935669,-0.5399999618530273,2.7,1.8833470940589905,-4.358522415161133
24985,512064,5022093,6,2022,1.2848800420761108,0.7998749017715454,1.4461610317230225,3.240000009536743,13.86,1.8112252950668335,-4.285253524780273
24986,513564,5022093,6,2022,1.1648800373077393,0.7287992835044861,1.443371057510376,5.5304999351501465,12.6,1.739103376865387,-4.211980819702148
24987,515064,5022093,6,2022,1.096224665641785,0.6867981553077698,1.442560076713562,10.709099769592283,13.86,1.6967981457710266,-4.00572395324707
24988,516564,5022093,6,2022,1.0486090183258057,0.6567109823226929,1.442560076713562,4.220099925994873,9.9,1.6667109727859497,-3.7449722290039063
24989,518064,5022093,6,2022,1.003024935722351,0.626474916934967,1.442560076713562,4.211999893188477,16.830000000000002,1.634755790233612,-3.487386703491211
24990,519564,5022093,6,2022,1.003024935722351,0.5928993225097656,1.442560076713562,10.715400099754332,18.9,1.5608893036842346,-3.300760269165039
24991,521064,5022093,6,2022,1.003024935722351,0.5593237280845642,1.442560076713562,0.3492000102996826,15.12,1.4870227575302124,-3.1141319274902344
24992,522564,5022093,6,2022,0.9741034507751464,0.5386019945144653,1.4436091184616089,-2.8341000080108643,2.34,1.44115948677063,-2.969480514526367
24993,524064,5022093,6,2022,0.8971843719482422,0.5392122864723206,1.4463990926742554,-2.145599842071533,13.23,1.441769778728485,-2.8944854736328125
24994,525564,5022093,6,2022,0.8202652931213379,0.5398226380348206,1.449189066886902,2.8413000106811523,29.52,1.442380130290985,-2.819490432739258
24995,527064,5022093,6,2022,0.7745240926742554,0.5400000214576721,1.364137887954712,-0.6219000816345215,14.579999999999998,1.3913372159004211,-2.611480712890625
24996,528564,5022093,6,2022,0.7415587902069092,0.5400000214576721,1.2430915832519531,0,7.38,1.319128155708313,-2.348966598510742
24997,530064,5022093,6,2022,0.709970235824585,0.5399739742279053,1.125334620475769,0.1404000073671341,0.81,1.2499739527702332,-2.094449996948242
24998,531564,5022093,6,2022,0.7092727422714233,0.53936368227005,1.081380844116211,1.305899977684021,5.49,1.249363660812378,-2.019468307495117
24999,533064,5022093,6,2022,0.7085751891136169,0.53875333070755,1.0374271869659424,0,12.24,1.248753309249878,-1.944486618041992
25000,534564,5022093,8,2022,0.7205349206924438,0.5507674813270569,1.0099999904632568,-0.20789999514818192,119.07,1.2607674598693848,-1.882944107055664
25001,536064,5022093,8,2022,0.7535002827644348,0.5837327837944031,1.0099999904632568,0,22.23,1.293732762336731,-1.8436965942382813
25002,537564,5022093,8,2022,0.786465585231781,0.6166980862617493,1.0099999904632568,1.8522000312805176,15.48,1.3266980648040771,-1.804452896118164
25003,539064,5022093,8,2022,0.8511035442352295,0.6267129182815552,1.0411778688430786,3.2850000858306885,4.77,1.3361563086509705,-1.7398395538330078
25004,540564,5022093,8,2022,0.9287200570106506,0.6273232102394104,1.0851316452026367,8.331299781799316,11.34,1.3359819054603577,-1.664834976196289
25005,542064,5022093,8,2022,0.9983366131782532,0.6264451742172241,1.125334620475769,2.364300012588501,1.62,1.334386110305786,-1.5930652618408203
25006,543564,5022093,8,2022,0.8884522318840027,0.5921720862388611,1.081380844116211,7.172100067138672,18.72,1.3008977174758911,-1.5939254760742188
25007,545064,5022093,8,2022,0.7785678505897522,0.5578989386558533,1.0374271869659424,0.8568000197410583,3.689999999999999,1.267409265041351,-1.5947895050048828
25008,546564,5022093,8,2022,0.7099999785423279,0.5372992753982544,1.0471848249435425,6.981299877166748,12.329999999999998,1.2343469858169556,-1.5953311920166016
25009,548064,5022093,8,2022,0.7099999785423279,0.539391815662384,1.146080732345581,4.047299861907959,7.92,1.2019920349121094,-1.5953407287597656
25010,549564,5022093,8,2022,0.7099999785423279,0.5414842963218689,1.2449767589569092,3.563999891281128,6.12,1.1696370244026184,-1.5953521728515625
25011,551064,5022093,8,2022,0.7352387309074402,0.5654758810997009,1.381916642189026,5.119200050830841,10.98,1.162830650806427,-1.622575759887695
25012,552564,5022093,8,2022,0.7708196640014648,0.5984411835670471,1.534446120262146,-1.1285999417304993,87.84,1.1664934754371643,-1.6609516143798828
25013,554064,5022093,8,2022,0.8082648515701294,0.6312800049781799,1.6806200742721558,-4.423500061035156,114.29999999999998,1.1699739694595337,-1.6992874145507813
25014,555564,5022093,8,2022,0.887537956237793,0.6612799763679504,1.684194803237915,0.11339999735355376,2.97,1.1693636178970337,-1.7367877960205078
25015,557064,5022093,8,2022,0.9668110609054564,0.6912800073623657,1.6877694129943848,8.998200416564941,17.55,1.1687533557415009,-1.7742919921875
25016,558564,5022093,8,2022,1.0333614349365234,0.7099999785423279,1.7450886964797974,7.212600231170654,8.64,1.1587319672107697,-1.840314865112305
25017,560064,5022093,8,2022,1.0787973403930664,0.7099999785423279,1.8916012048721311,7.841700077056885,7.289999999999999,1.1330922544002533,-1.9536724090576172
25018,561564,5022093,8,2022,1.1242332458496094,0.7099999785423279,2.038113594055176,46.75859832763672,65.7,1.107452571392059,-2.067026138305664
25019,563064,5022093,8,2022,1.136388659477234,0.6892147660255432,2.0831737518310547,25.72559928894043,32.67,1.0792147517204285,-2.2348384857177734
25020,564564,5022093,8,2022,1.1349064111709597,0.6599122285842896,2.0866611003875732,2.9330999851226807,5.13,1.0499122142791748,-2.424964904785156
25021,566064,5022093,8,2022,1.133550763130188,0.6318934559822083,2.0899999141693115,31.7268009185791,71.55,1.0229873955249786,-2.603778839111328
25022,567564,5022093,8,2022,1.1350328922271729,0.6326781511306763,2.0899999141693115,-3.91949999332428,7.470000000000006,1.049411803483963,-2.5287647247314453
25023,569064,5022093,8,2022,1.1365151405334473,0.6334628462791443,2.0899999141693115,3.148200035095215,16.92,1.075836181640625,-2.4537487030029297
25024,570564,5022093,8,2022,1.158098220825195,0.6339524984359741,2.0899999141693115,28.84949946403503,56.879999999999995,1.0925544798374176,-2.3918628692626953
25025,572064,5022093,8,2022,1.213040471076965,0.6339524984359741,2.0899999141693115,54.87120056152344,86.4,1.0931648015975952,-2.351766586303711
25026,573564,5022093,6,2022,1.2679826021194458,0.6339524984359741,2.0899999141693115,7.425000190734863,10.17,1.0937751233577728,-2.3116722106933594
25027,575064,5022093,6,2022,1.3281211853027344,0.6541811227798462,2.0899999141693115,20.05020008981228,20.88,1.0955611169338226,-2.2189788818359375
25028,576564,5022093,6,2022,1.3903889656066897,0.6826989054679871,2.0899999141693115,0.23759999871253967,2.07,1.097828894853592,-2.104726791381836
25029,578064,5022093,6,2022,1.4500000476837158,0.7073134779930115,2.0899999141693115,0.5823000073432922,1.17,1.0984334647655487,-1.996988296508789
25030,579564,5022093,6,2022,1.4500000476837158,0.64434814453125,2.0899999141693115,0.38339999318122864,0.7199999999999998,1.0617181360721588,-2.035360336303711
25031,581064,5022093,6,2022,1.4500000476837158,0.5813828706741333,2.0899999141693115,0.4959000051021576,5.129999999999999,1.0250028669834137,-2.0737361907958984
25032,582564,5022093,6,2022,1.4500000476837158,0.5417974591255188,2.0899999141693115,0.2484000027179718,0,1.0015679895877838,-2.166868209838867
25033,584064,5022093,6,2022,1.4500000476837158,0.5410127639770508,2.0899999141693115,0.824400007724762,0.6299999999999999,1.0001729726791382,-2.350881576538086
25034,585564,5022093,19,2022,1.4500000476837158,0.5402281284332275,2.0899999141693115,0.20880000293254852,0.18,0.9987780451774596,-2.5348949432373047
25035,587064,5022093,19,2022,1.4058313369750977,0.5633834004402161,2.0899999141693115,0,1.71,1.0035688281059263,-2.7714920043945313
25036,588564,5022093,19,2022,1.3435635566711426,0.5963487029075623,2.0899999141693115,0.2330999970436096,0.09000000000000002,1.0108944177627563,-3.0296382904052734
25037,590064,5022093,19,2022,1.2866092920303345,0.6292209625244141,2.0899999141693115,-0.16020001471042633,-0.5399999999999991,1.019220948219299,-3.2785167694091797
25038,591564,5022093,19,2022,1.3488770723342896,0.6600056290626526,2.0899999141693115,0.14579999446868896,0.08999999999999986,1.0500056147575378,-3.319507598876953
25039,593064,5022093,19,2022,1.4111449718475342,0.6907903552055359,2.0899999141693115,-0.3051000237464905,-3.6000000000000014,1.0807903409004211,-3.360494613647461
25040,594564,5022093,19,2022,1.4059290885925293,0.7226899862289429,2.0899999141693115,-0.7470000088214874,-10.89,1.0918022394180298,-3.39984130859375
25041,596064,5022093,19,2022,1.2887190580368042,0.7564399838447571,2.0899999141693115,0.4932000041007995,-5.489999999999995,1.0699997246265411,-3.436460494995117
25042,597564,5022093,19,2022,1.171509027481079,0.7901899814605713,2.0899999141693115,-0.6129000186920166,-6.84,1.0481972396373749,-3.47308349609375
25043,599064,5022093,19,2022,1.0482994318008425,0.8006184697151184,2.0899999141693115,-0.09449999779462814,-5.579999999999998,1.0047437101602554,-3.4082565307617188
