spc_id,year,spc_type,selected_by,test_col,x,y,P.Sgreen,P.Snir,P.Snir.rg,N_savg,N_ctr,ovlp.area,dswe.area,elev.abv,postOcc,preOcc,dsweSept7
1164429,2021,em_veg,annotated,0,544695,5124945,0.08491400146484375,0.17933800048828125,1.7916770277023317e-5,114.28577423095705,175.17689514160156,900,694800,-0.14480590820306816,0.625,0.6666666865348816,5
1164583,2021,deep_viz,annotated,0,544725,5124225,0.04340400085449219,0.0308510009765625,6.259287685155869e-6,16.068729400634766,2.031773328781128,900,694800,0.01995849609380684,1,1,1
1164591,2021,deep_viz,annotated,0,544725,5123745,0.04336400146484375,0.03127000122070313,6.188083574771882e-6,17.416046142578125,3.0072031021118164,900,694800,0.01995849609380684,1,1,1
1164709,2021,glint,annotated,0,544755,5123415,0.09326400146484376,0.130431005859375,1.3030552701950072e-5,105.30936431884766,61.3975944519043,900,694800,-0.09835815429681816,0.04545454680919647,1,5
1164948,2021,dry,annotated,0,544785,5124105,0.05998699951171875,0.07821300048828125,7.80927415728569e-6,55.69379425048828,64.24481201171875,900,694800,-0.17453002929681816,1,1,3
1165175,2021,deep_water,random_draw,0,544875,5123265,0.0611469970703125,0.11858299560546876,1.1842923511266708e-5,61.575096130371094,115.8029556274414,900,126000,-0.0360107421875,0.47826087474823,0.3333333432674408,5
1165313,2021,deep_water,random_draw,0,544905,5123145,0.07233800048828125,0.14336700439453126,1.4318674334287642e-5,96.0742645263672,238.9551239013672,900,126000,0.064849853515625,0.6086956262588501,0.6666666865348816,5
1165677,2021,deep_water,random_draw,0,545025,5122845,0.04705799865722656,0.07959600219726562,7.946890867948531e-6,19.732402801513672,86.11316680908203,900,126000,0.056121826171875,0.5925925970077515,0.3333333432674408,5
1165724,2021,deep_water,random_draw,0,545025,5123295,0.07378300170898437,0.15564599609375,1.5542246723175047e-5,150.5556182861328,114.44277954101564,900,126000,-0.258087158203125,0.2083333283662796,0.3333333432674408,5
1165767,2021,deep_water,random_draw,0,545055,5123145,0.09336099853515624,0.19566700439453125,1.9546064624786376e-5,120.94615173339844,124.602294921875,0,126000,-0.09625244140625,0,0,5
1165797,2021,deep_water,random_draw,0,545055,5122965,0.0758510009765625,0.15255,1.5236709361076356e-5,85.37604522705078,168.1826171875,900,126000,-0.0694580078125,0.3703703582286834,0,5
