spc_id,year,spc_type,selected_by,test_col,x,y,P.Sgreen,P.Snir,P.Snir.rg,N_savg,N_ctr,ovlp.area,spc.pa,dswe.area,elev.abv,postOcc,preOcc,dsweSept7
2606382,2021,deep_water,random_draw,0,550043.0753,5095376.199,0.100921917724609,0.212512329101563,0.1285890259,123.8923645,64.46839905,252,3.318181818,23400,-0.052520752,0.285540342,0.441780835,5
2607059,2021,deep_water,random_draw,0,550138.9348,5095280.587,0.0785913024902344,0.144930432128906,0.1103521667,109.1267929,119.975769,585,3.568965517,23400,0.009124756,0.375258803,0.541062772,4.217391491
2607609,2021,deep_water,random_draw,0,550231.3286,5095226.957,0.0794357116699219,0.182595715332031,0.09219572754,103.6673203,80.48685455,144,3,23400,-0.030975342,0.034693878,0.698809505,5
2606274,2021,deep_water,random_draw,0,550020,5095056.662,0.0953176452636719,0.179708825683594,0.07722794189,113.9380875,206.5414581,225,3.090909091,34200,0.051849365,0.14136906,0.627451003,5
2606680,2021,deep_water,random_draw,0,550086.8824,5095173.971,0.101307354736328,0.193358825683594,0.1063970459,112.7173309,129.4655151,144,3.642857143,34200,0.035461426,0.087009802,0.665441155,5
2607303,2021,deep_water,random_draw,0,550185.3879,5095141.034,0.070147412109375,0.177683618164063,0.1311905273,106.7480927,56.86982346,801,4.046511628,34200,-0.061737061,0.288104922,0.491379321,4.75
2607637,2021,deep_water,random_draw,0,550231.8529,5095033.029,0.05215,0.118432348632813,0.06203137817,75.01007843,146.4786987,288,3.923076923,34200,0.114898682,0.515196085,0.423856229,4.029411793
2608434,2021,deep_water,random_draw,0,550326.14,5095094.02,0.0334239990234375,0.0924013305664062,0.01999066772,57.67197418,69.75585175,207,3.879310345,34200,0.105010986,0.428070158,0.474666655,4.599999905
2622333,2021,em_veg,annotated,0,552430.2714,5094801.957,0.0798609497070313,0.1772923828125,0.1365476135,158.1118164,7.738134384,351,5.25,56700,-0.127227783,0.056892235,0.318095237,4.980952263
2622580,2021,em_veg,annotated,0,552475.7376,5094968.926,0.0916613891601562,0.205539599609375,0.113308905,152.9304504,22.86339951,630,5.611111111,56700,-0.174957275,0.181188121,0.655445516,5
2622737,2021,dry,annotated,0,552505.4204,5094800.509,0.110177880859375,0.21467255859375,0.0720362793,141.1025543,58.37586975,135,4.708333333,56700,-0.590026855,0,0.132743359,5
2624715,2021,dry,annotated,0,552780.6176,5094935.735,0.0770441162109375,0.141611767578125,0.06093823853,102.0847092,174.57589720000001,135,1.75862069,134100,0.045501709,0.462566853,0.718137264,4.117647171
2625172,2021,dry,annotated,0,552857.9357,5095150.993,0.1182228515625,0.255230004882813,0.1284878662,121.4916687,122.4972229,432,6.5625,134100,-0.300018311,0.187585041,0.342857152,4.657142639
2626636,2021,dry,annotated,0,553068.4024,5094990,0.0877048767089844,0.247113403320313,0.09842438965,151.2661743,83.10482025,297,4.24137931,134100,-1.609985352,0.424057662,0.414634138,4.597560883
2635722,2021,deep_water,random_draw,0,554527.0301,5094938.476,0.058459033203125,0.1482072265625,0.07730603027,107.331337,195.714798,207,3.458333333,1800,0.087249756,0.115796521,0.204819277,5
2635752,2021,em_veg,random_draw,0,554525.6163,5094774.872,0.0526790710449219,0.109709301757813,0.04685813599,74.51722717,238.8339691,342,2.6875,118800,0.037445068,0.856478333,0.758139491,3.23255825
2635954,2021,em_veg,random_draw,0,554543.8077,5094523.269,0.06651025390625,0.164266662597656,0.06694873047,123.3537903,195.5623932,333,2.34,118800,-0.045623779,0.631688952,0.643589795,4.384615421
2636083,2021,em_veg,random_draw,0,554552.7,5094684.15,0.0412049987792969,0.0780883361816406,0.04557166138,79.09473419,283.0798035,540,3.214285714,118800,0.041107178,1,1,3.183333397
2636659,2021,em_veg,random_draw,0,554622.1429,5094621.5,0.0565309509277344,0.139204760742187,0.04715952148,111.1805344,250.155304,378,2.52,118800,0.010192871,0.826826394,0.710317433,3.761904716
2637195,2021,em_veg,random_draw,0,554672.7761,5094948.515,0.0275798492431641,0.0482223876953125,0.02738432617,41.24832535,29.6736412,1206,6.931034483,118800,0.041137695,0.99651736,1,2.395522356
2637196,2021,em_veg,random_draw,0,554672.0814,5094833.314,0.0262953491210937,0.0379542633056641,0.02165891418,37.64544678,8.555763245,1161,8.0625,118800,0.041137695,1,1,1.325581431
2637497,2021,em_veg,random_draw,0,554704.372,5095087.299,0.0338073181152344,0.0675786560058594,0.02771463623,42.66257858,37.83761597,1467,7.935483871,118800,0.040039063,0.832318485,0.436585397,2.804877996
2637553,2021,em_veg,random_draw,0,554702.9242,5094711.712,0.0280292938232422,0.0540141418457031,0.02035656738,44.80407715,56.26980591,891,5.5,118800,0.039459229,0.974450409,1,3.01010108
2638767,2021,em_veg,random_draw,0,554820.1154,5094824.833,0.0276957275390625,0.0469521362304687,0.02554700928,40.57556534,20.36882591,1053,7.02,118800,0.041137695,0.940705121,0.974358976,2.153846264
2639131,2021,em_veg,random_draw,0,554848.875,5094920.475,0.0277533325195312,0.0400758331298828,0.02170333557,36.33050537,0.89256835,1080,7.826086957,118800,0.041107178,1,1,1
2636454,2021,dry,annotated,0,554592.2436,5094086.372,0.0867649597167969,0.203038464355469,0.1255179443,122.5191727,48.86603928,414,2.830645161,10800,-0.041168213,0.112010799,0.144159541,4.803418636
2634960,2021,deep_water,random_draw,0,554429.7222,5093007.667,0.0518888916015625,0.103485180664062,0.0316111145,87.14360046,132.6986237,486,2.314285714,56700,0.061218262,0.818703711,1,3.888888836
2635725,2021,deep_water,random_draw,0,554516.4122,5093183.676,0.0307648651123047,0.0531560791015625,0.02600202637,39.35834122,8.683442116,1332,8.222222222,56700,0.072021484,0.859407425,0.945945919,3.189189196
2636252,2021,deep_water,random_draw,0,554575.9884,5092953.105,0.06013720703125,0.149709301757812,0.01833720703,132.7609863,124.6352768,387,2.15,56700,0.040222168,0.28398928,0.586378753,4.348837376
2636456,2021,deep_water,random_draw,0,554585.2009,5093061.182,0.0246915893554688,0.0351261688232422,0.0286037384,31.32324028,1.575795531,963,7.295454545,56700,0.073669434,1,1,1
2636800,2021,deep_water,random_draw,0,554630.6875,5093144.875,0.05113125,0.103652087402344,0.1114645874,137.2056274,98.24695587,315,2.666666667,56700,0.006256104,0.671602547,0.580357134,3.5625
2636128,2021,deep_water,random_draw,0,554554.4779,5091835.368,0.0322632354736328,0.0814551452636719,0.02444631958,69.17922974,41.14186478,279,6.181818182,900,0.028167725,0.161038131,0.244747907,5
2900125,2021,em_veg,random_draw,0,554009.4375,5089170.75,0.0451524993896484,0.100277502441406,0.08395875244,150.3912048,80.697433470000007,522,4.615384615,35100,0.021453857,0.207211539,0.725818455,5
2900249,2021,em_veg,random_draw,0,554051.1471,5089061.265,0.114492150878906,0.24602353515625,0.08984902344,147.1876221,20.90114212,351,2.732142857,35100,-0.237640381,0,0.483193278,5
2900716,2021,em_veg,random_draw,0,554136.5882,5089262.853,0.11605,0.2199470703125,0.1039764648,130.5333099,40.62229538,126,5.1,35100,-0.216247559,0,0.108776852,5
2900767,2021,em_veg,random_draw,0,554137.1604,5089154.462,0.0170349060058594,0.0352858489990234,0.01570566101,116.4812622,100.971199,954,6.913043478,35100,0.021392822,0.35680595,0.666666687,5
2901264,2021,em_veg,random_draw,0,554222.0676,5089102.946,0.0847337829589844,0.194671618652344,0.07765406494,146.9708099,28.71669197,216,3.264705882,35100,-0.063812256,0,0.312741309,5
2900732,2021,em_veg,random_draw,0,554136.2746,5088529.627,0.0825915466308594,0.187316906738281,0.09212674561,131.726532,86.84221649,486,3.55,29700,-0.370788574,0.268514305,0.787055671,4.859154701
2900902,2021,em_veg,random_draw,0,554160.0152,5088645.197,0.0322343444824219,0.0687414123535156,0.008808081055,75.48788452,32.10267639,891,5.303571429,29700,0.070495605,0.935209215,0.932178974,3.464646578
2901451,2021,em_veg,random_draw,0,554262.5516,5088771.977,0.0353419342041016,0.0722206481933594,0.008089031982,74.43772888,49.43666077,1026,5.406976744,29700,0.064544678,0.709199488,0.568049192,3.52903223
2901585,2021,em_veg,random_draw,0,554259.7979,5088671.394,0.0335457458496094,0.0842287231445313,0.0285329834,102.7059021,61.34877777,747,5.222222222,29700,0.070739746,0.861308157,0.806990921,4
2900203,2021,em_veg,annotated,0,554016.0455,5087235.455,0.0584878784179687,0.127962121582031,0.03575151367,135.720932,147.959259,423,3.535714286,7200,0.020294189,0.342873186,0.222222224,4.424242496
2900405,2021,em_veg,annotated,0,554073.5769,5087268.169,0.0335976318359375,0.0654656799316406,0.004895855713,76.62863159,97.35246277,1332,8.177419355,7200,0.010742188,0.586025536,0.250690341,3.869822502
2900680,2021,dry,annotated,0,554115.9469,5087239.232,0.117136315917969,0.248857543945313,0.09681955566,155.2382202,45.22733307,153,8.136363636,7200,-0.164794922,0.058762673,0.037988827,4.905027866
